period_date,organization_id,metric_id,value,unit,method_version,description,status
2024-06-11,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-12,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-14,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-16,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-21,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,5,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-24,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-25,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-07-08,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-07-09,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-16,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-24,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-25,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-26,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-28,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-09-30,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,5,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-01,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,15,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-02,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,10,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-03,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-07,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-08,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-14,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-17,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-10-22,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-19,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-20,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,10,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-21,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-22,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-25,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-26,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-11-27,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-12-19,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-10,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-13,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-14,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-17,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-21,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-22,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-23,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-23,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-24,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,8,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-27,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-28,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-29,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-30,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-01-31,602ec278-054a-473e-a553-957bd5ac8c6f,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-02-05,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-02-10,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-02-11,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-02-12,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-13,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-14,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-17,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-23,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-24,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-04-29,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-05-13,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-06-25,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-07-08,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-07,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-07,d49549fa-5068-4a6e-81fc-eb6c315d2d53,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-11,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,8,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-12,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-13,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,4,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-14,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-19,60a2706c-ff10-4966-8fc0-54b217490646,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-22,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-25,60a2706c-ff10-4966-8fc0-54b217490646,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-26,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-27,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-08-28,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-09-01,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-09-02,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,9,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-09-02,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-09-03,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,client_encounters,5,count,v1,Total unique clients seen (one encounter per patient per day),prod
2025-09-04,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2026-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_accepted_fws,3,count,v1,Clients who accepted Financial Wellness Services,prod
2026-01-27,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,clients_accepted_fws,3,count,v1,Clients who accepted Financial Wellness Services,prod
2026-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_accepted_ipc,7,count,v1,Clients who accepted IPC (scheduled IPC session),prod
2026-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_accepted_referral,7,count,v1,Clients who accepted referral to mental health specialist,prod
2026-01-27,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,clients_accepted_referral,2,count,v1,Clients who accepted referral to mental health specialist,prod
2026-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_accepted_sbirt,7,count,v1,Clients who accepted SBIRT-MI,prod
2026-01-27,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,clients_accepted_sbirt,2,count,v1,Clients who accepted SBIRT-MI,prod
2025-04-25,,clients_eligible_for_ipc,2,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-04-26,,clients_eligible_for_ipc,2,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-04-27,,clients_eligible_for_ipc,2,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-04-28,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-04-29,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-04-30,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-01,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-02,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-03,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-04,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-05,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-06,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-07,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-08,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-09,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-10,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-11,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-12,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-13,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-14,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-15,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-16,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-17,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-18,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-19,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-20,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-21,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-22,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-23,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-24,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-25,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-26,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-27,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-28,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-29,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-30,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-05-31,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-01,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-02,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-03,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-04,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-05,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-06,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-07,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-08,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-09,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-10,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-11,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-12,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-13,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-14,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-15,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-16,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-17,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-18,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-19,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-20,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-21,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-22,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-23,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-24,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-25,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-26,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-27,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-28,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-29,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-06-30,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-01,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-02,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-03,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-04,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-05,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-06,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-07,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-08,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-09,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-10,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-11,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-12,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-13,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-14,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-15,,clients_eligible_for_ipc,3,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-16,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-17,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-18,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-19,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-20,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-21,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-22,,clients_eligible_for_ipc,4,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-23,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-24,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-25,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-26,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-27,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-28,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-29,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-30,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-07-31,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-01,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-02,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-03,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-04,,clients_eligible_for_ipc,11,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-05,,clients_eligible_for_ipc,14,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-06,,clients_eligible_for_ipc,16,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-07,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,1,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-07,,clients_eligible_for_ipc,16,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-08,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,5,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-08,,clients_eligible_for_ipc,16,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-09,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,5,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-09,,clients_eligible_for_ipc,16,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-10,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,5,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-10,,clients_eligible_for_ipc,16,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-11,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,6,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-11,d49549fa-5068-4a6e-81fc-eb6c315d2d53,clients_eligible_for_ipc,1,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-11,,clients_eligible_for_ipc,19,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-12,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,6,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-12,d49549fa-5068-4a6e-81fc-eb6c315d2d53,clients_eligible_for_ipc,1,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-12,,clients_eligible_for_ipc,19,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-13,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,8,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-13,d49549fa-5068-4a6e-81fc-eb6c315d2d53,clients_eligible_for_ipc,1,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-13,,clients_eligible_for_ipc,20,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
2025-08-14,92dd11a8-2635-476b-a8d0-573cf74d4487,clients_eligible_for_ipc,12,count,v1,Clients eligible for IPC (Integrated Primary Care),prod
